"cidade";"ID"
"Marabá (PA)";"E M E F PEDRO MARINHO OLIVEIRA (15127214)"
"Marabá (PA)";"E M E F RUFINA NASCIMENTO E SILVA (15127222)"
"Marabá (PA)";"EMEF DR INACIO DE SOUSA MOITA (15127257)"
"Marabá (PA)";"E M E F NRA DE FATIMA (15127273)"
"Marabá (PA)";"EMEF FE EM DEUS (15127346)"
"Marabá (PA)";"E M E F FRANCISCA DE OLIVEIRA LIMA (15127427)"
"Marabá (PA)";"E M E F SAO JOSE (15127486)"
"Marabá (PA)";"EMEF HELOISA DE SOUZA CASTRO (15127508)"
"Marabá (PA)";"EMEF DUQUE DE CAXIAS (15127559)"
"Marabá (PA)";"EMEF NAGIB MUTRAN (15127591)"
"Marabá (PA)";"E M E F PROF� IDA VALMONT (15127672)"
"Marabá (PA)";"EMEF PROF� JUDITH GOMES LEITAO (15127680)"
"Marabá (PA)";"EMEF SAO FELIX (15127761)"
"Marabá (PA)";"EMEF DEUZUITA MELO DE ALBUQUERQUE (15127788)"
"Marabá (PA)";"E M E F FAIXA LINDA (15127800)"
"Marabá (PA)";"E M E F GROTA DA CUTIA (15127818)"
"Marabá (PA)";"E M E F TANCREDO NEVES II (15127958)"
"Marabá (PA)";"E M E F JOAO ANASTACIO DE QUEIROZ (15127974)"
"Marabá (PA)";"E M E F LUZIA NUNES FERNANDES (15127990)"
"Marabá (PA)";"EMEF PROF� JONATHAS PONTES ATHIAS (15128016)"
"Marabá (PA)";"E M E F 25 DE DEZEMBRO (15128040)"
"Marabá (PA)";"EMEF ALTO ALEGRE (15128083)"
"Marabá (PA)";"E M E F ANAJAS (15128105)"
"Marabá (PA)";"E M E F ARCO IRIS (15128121)"
"Marabá (PA)";"E M E F JARDIM DA ESPERANCA (15128148)"
"Marabá (PA)";"E M E F PROFESSORA ELIZABETH GOMES BARBOSA (15128180)"
"Marabá (PA)";"E M E F CASTELO BRANCO (15128237)"
"Marabá (PA)";"EMEF JOSE ALVES DE CARVALHO (15128334)"
"Marabá (PA)";"E M E F BASILIO MIGUEL DOS SANTOS (15128342)"
"Marabá (PA)";"E M E F CAMINHO DA LIBERDADE (15128350)"
"Marabá (PA)";"E M E F FRANCISCO COELHO (15128385)"
"Marabá (PA)";"EMEF ELINDA SIMPLICIO COSTA (15128407)"
"Marabá (PA)";"EMEF WALQUISE VIANA DA SILVEIRA (15128415)"
"Marabá (PA)";"E M E F JOSE FREIRE DE ALENCAR (15128431)"
"Marabá (PA)";"EMEF JOSE MENDONCA VERGOLINO (15128440)"
"Marabá (PA)";"EMEF PEDRO CAVALCANTE (15128539)"
"Marabá (PA)";"EMEF PEDRO PERES FONTENELLE (15128547)"
"Marabá (PA)";"E M E F PEQUENO PAJE (15128555)"
"Marabá (PA)";"EMEF 21 DE ABRIL (15128636)"
"Marabá (PA)";"E M E F BOM JESUS DO RIO PRETO (15128644)"
"Marabá (PA)";"E M E F GERALDO LUIZ GONZAGA (15128695)"
"Marabá (PA)";"E M E F GETULIO VARGAS (15128709)"
"Marabá (PA)";"EMEF JARBAS GONCALVES PASSARINHO (15128717)"
"Marabá (PA)";"EMEF TERESA DE CASTRO AQUINO SILVA (15128733)"
"Marabá (PA)";"E M E F MERCIA LACERDA MIRANDA (15128768)"
"Marabá (PA)";"EMEF SAO FRANCISCO (15128792)"
"Marabá (PA)";"E M E F TIO MING (15128814)"
"Marabá (PA)";"EMEF PAULO UMBELINO FERREIRA (15128822)"
"Marabá (PA)";"NEI DR DEODORO DE MENDONCA (15128865)"
"Marabá (PA)";"E M E F DR FRANCISCO SOUSA RAMOS (15128873)"
"Marabá (PA)";"E M E F DR JOSE CURSINO DE AZEVEDO (15128881)"
"Marabá (PA)";"E M E F DRA MARIVALDA F MOTA (15128903)"
"Marabá (PA)";"EMEF PROFESSORA TEREZINHA DE SOUZA RAMOS (15128997)"
"Marabá (PA)";"E M E F JERUSALEM (15129012)"
"Marabá (PA)";"E M E F JOAO XXIII (15129039)"
